index,psnr_noisy,ssim_noisy,psnr_neural,ssim_neural
0000,23.4121,0.8233,35.5860,0.9506
0001,20.7200,0.7859,33.4866,0.9323
0002,21.3616,0.8160,35.8584,0.9602
0003,22.3880,0.8563,37.0706,0.9632
0004,20.4496,0.7826,32.7745,0.9476
0005,22.8984,0.8709,36.3742,0.9706
0006,21.1330,0.7007,35.3714,0.9408
0007,20.3440,0.7114,34.5192,0.9369
0008,22.1910,0.8028,36.4114,0.9616
0009,26.2390,0.9395,38.6570,0.9847
0010,25.5346,0.8962,38.6907,0.9756
0011,19.9794,0.7390,32.7505,0.9500
0012,13.6202,0.3086,27.1113,0.7077
0013,17.9309,0.3263,31.5642,0.8204
0014,17.4840,0.3865,26.1922,0.7952
0015,12.8798,0.3076,22.3457,0.6441
0016,13.1214,0.4177,23.3768,0.6973
0017,21.5164,0.7474,35.2969,0.9496
0018,21.0707,0.7808,35.1230,0.9486
0019,25.2902,0.8967,39.2893,0.9814
0020,26.3805,0.8580,36.7960,0.9668
0021,20.4821,0.7131,32.2174,0.9100
0022,21.2521,0.8028,35.7497,0.9577
0023,20.2551,0.7808,34.7504,0.9447
0024,18.9910,0.7402,31.5838,0.9370
0025,21.7647,0.8169,34.8850,0.9575
0026,23.6276,0.8301,37.0979,0.9686
0027,20.9493,0.7369,34.8911,0.9482
0028,23.9069,0.8704,37.3290,0.9750
0029,21.1388,0.8532,32.9725,0.9620
0030,22.5630,0.8250,35.4052,0.9591
0031,16.1743,0.3079,30.6887,0.8423
0032,15.5156,0.2670,28.6014,0.7610
0033,18.7785,0.3878,32.2874,0.8486
0034,19.4707,0.5638,27.1710,0.8512
0035,12.6361,0.2796,22.3715,0.6242
0036,12.6564,0.2575,23.6503,0.6549
0037,28.8532,0.9583,39.6429,0.9903
0038,22.6351,0.8457,35.5145,0.9669
0039,24.9938,0.8748,38.8173,0.9797
0040,27.4979,0.9085,37.7088,0.9722
0041,20.5533,0.7329,32.8538,0.9125
0042,20.8758,0.7397,35.3500,0.9472
0043,21.9011,0.8473,35.8487,0.9664
0044,24.6800,0.9066,35.5825,0.9768
0045,21.7184,0.7794,34.5168,0.9506
0046,23.5492,0.8243,37.0673,0.9680
0047,21.1037,0.7230,35.3796,0.9476
0048,23.1714,0.8510,36.8532,0.9710
0049,20.7731,0.8502,32.3154,0.9619
0050,22.5717,0.8199,35.4692,0.9602
0051,20.3523,0.7859,33.1540,0.9564
0052,7.9393,0.0999,8.8767,0.3709
0053,19.6612,0.3364,32.3989,0.8495
0054,17.2420,0.5050,25.4365,0.7911
0055,12.9419,0.2622,22.6597,0.6404
0056,14.6500,0.3145,26.1956,0.7118
0057,29.3449,0.9593,40.1541,0.9906
0058,21.9136,0.8186,34.8241,0.9619
0059,24.8038,0.8491,38.7687,0.9782
0060,26.2957,0.8914,38.3721,0.9713
0061,21.7327,0.7503,34.6089,0.9282
0062,20.9287,0.7133,35.5508,0.9402
0063,22.1705,0.8360,36.1557,0.9650
0064,23.3357,0.8913,34.4385,0.9723
0065,21.6682,0.7752,35.0400,0.9469
0066,25.7400,0.8995,38.2326,0.9819
0067,23.6239,0.8557,37.2378,0.9717
0068,19.8359,0.6804,34.3433,0.9311
0069,23.0206,0.9087,33.8365,0.9754
0070,24.5319,0.8811,36.4138,0.9706
0071,20.5672,0.8076,33.6610,0.9597
0072,16.8302,0.2638,28.9998,0.7944
0073,19.2678,0.3239,32.3380,0.8585
0074,15.6629,0.3503,24.0802,0.7258
0075,12.6691,0.2110,22.8274,0.6238
0076,14.1481,0.1690,25.5356,0.6526
0077,23.4045,0.8218,36.9147,0.9668
0078,22.4117,0.8102,35.7346,0.9629
0079,25.2131,0.8497,39.2461,0.9786
0080,19.9495,0.3425,34.5538,0.8756
0081,23.0537,0.8532,34.4327,0.9484
0082,20.6430,0.6916,35.2921,0.9337
0083,22.4531,0.8561,36.3696,0.9704
0084,23.2284,0.8879,34.3097,0.9721
0085,20.9975,0.7413,34.6374,0.9393
0086,25.5255,0.8918,38.0734,0.9808
0087,24.2949,0.8637,38.1497,0.9743
0088,19.9878,0.6995,34.5448,0.9347
0089,21.8948,0.8895,32.4730,0.9702
0090,24.3584,0.8718,36.3130,0.9700
0091,21.0525,0.8136,34.8811,0.9630
0092,18.0169,0.2507,29.7859,0.8209
0093,20.3359,0.3130,33.1070,0.8630
0094,15.8597,0.4415,24.3473,0.7562
0095,13.2127,0.2794,22.6418,0.6410
0096,13.2819,0.1552,24.7825,0.6228
0097,24.4934,0.8690,38.0603,0.9758
0098,23.1596,0.8302,36.8488,0.9678
0099,25.3392,0.8767,39.2424,0.9810
0100,22.1117,0.5916,34.6822,0.9198
0101,22.7473,0.8721,35.4027,0.9610
0102,20.1859,0.6979,34.5826,0.9339
0103,22.6708,0.8684,36.8278,0.9717
0104,24.1900,0.9004,35.1829,0.9757
0105,20.6262,0.7139,34.4809,0.9311
0106,24.7137,0.8769,37.8195,0.9766
0107,23.3627,0.8535,36.7304,0.9708
0108,23.3301,0.8501,37.1669,0.9715
0109,21.6902,0.8955,32.1193,0.9699
0110,24.0370,0.8683,35.9844,0.9679
0111,21.1665,0.8107,34.6635,0.9629
0112,16.8185,0.2576,29.0446,0.7999
0113,20.0512,0.3345,32.9868,0.8639
0114,17.1191,0.4491,25.2045,0.7682
0115,12.6560,0.1801,22.9238,0.5862
0116,12.9916,0.1805,24.1023,0.6241
0117,24.6852,0.8731,38.0878,0.9762
0118,22.6143,0.8457,35.6865,0.9671
0119,25.5734,0.8911,39.5860,0.9815
0120,26.6225,0.8666,36.7148,0.9651
0121,24.7737,0.9052,36.0377,0.9647
0122,19.1854,0.6285,33.5823,0.9242
0123,22.3588,0.8356,36.5896,0.9672
0124,22.6267,0.8807,33.7077,0.9699
0125,26.0496,0.9321,37.8633,0.9814
0126,25.0817,0.8784,38.4168,0.9781
0127,23.0907,0.8471,36.2593,0.9707
0128,22.8372,0.8125,37.0517,0.9638
0129,18.9425,0.7432,31.5091,0.9360
0130,23.4259,0.8645,35.3785,0.9655
0131,21.2582,0.8121,34.7421,0.9622
0132,16.1819,0.2410,29.3728,0.7767
0133,19.5141,0.2656,32.5365,0.8331
0134,17.0142,0.4664,25.3238,0.7759
0135,12.5677,0.2132,22.5503,0.6025
0136,13.9615,0.4070,24.8447,0.7113
0137,25.1616,0.8786,38.7851,0.9775
0138,23.0665,0.8653,36.4098,0.9701
0139,25.4078,0.8701,39.3256,0.9808
0140,22.7942,0.8681,36.0340,0.9580
0141,25.7194,0.9204,36.7913,0.9715
0142,18.5164,0.6112,33.0476,0.9051
0143,22.5433,0.8451,36.6872,0.9683
0144,22.9818,0.8936,33.9883,0.9719
0145,26.7105,0.9416,37.5692,0.9847
0146,25.3478,0.8849,38.0396,0.9800
0147,22.9918,0.8498,36.0162,0.9697
0148,23.9289,0.8549,37.6614,0.9738
0149,17.9580,0.7583,30.4235,0.9374
0150,19.9719,0.6903,33.4617,0.9259
0151,21.0923,0.8084,34.5224,0.9611
0152,15.4349,0.2447,28.8792,0.7444
0153,21.9607,0.3524,34.7266,0.8888
0154,16.4301,0.3817,24.6894,0.7461
0155,13.0579,0.2698,23.3947,0.6428
0156,13.4470,0.3590,24.6362,0.6867
0157,25.0864,0.8861,37.7492,0.9779
0158,24.7191,0.9131,36.0068,0.9806
0159,25.0990,0.8537,38.9302,0.9776
0160,27.8046,0.9127,38.6289,0.9777
0161,21.3744,0.7757,32.8089,0.9276
0162,23.4439,0.8768,37.0682,0.9736
0163,22.9704,0.8635,37.1244,0.9712
0164,24.2174,0.9054,35.0030,0.9760
0165,26.2139,0.9376,37.9429,0.9833
0166,25.3368,0.8879,38.0154,0.9800
0167,22.9410,0.8463,35.9345,0.9679
0168,26.3228,0.9218,38.7723,0.9852
0169,18.2172,0.7645,30.5268,0.9382
0170,21.6744,0.7831,34.7271,0.9507
0171,19.2030,0.6918,33.5780,0.9333
0172,13.9442,0.1391,27.5451,0.6678
0173,19.6661,0.3766,33.1398,0.8732
0174,16.0778,0.3210,25.7603,0.7344
0175,13.0318,0.2119,22.7677,0.6261
0176,14.7707,0.2185,25.6148,0.6948
0177,25.5112,0.9021,38.5605,0.9800
0178,27.0248,0.9487,37.0813,0.9871
0179,24.7280,0.8408,38.7328,0.9763
0180,19.2745,0.6679,32.6930,0.8979
0181,20.5117,0.7548,33.3390,0.9236
0182,23.2578,0.8766,36.6993,0.9756
0183,23.7124,0.8928,37.2942,0.9779
0184,19.7589,0.8011,31.6804,0.9484
0185,26.1283,0.9250,37.9277,0.9804
0186,25.6891,0.8995,38.1946,0.9817
0187,23.2705,0.8574,36.9014,0.9715
0188,24.3359,0.8821,37.5058,0.9774
0189,18.6427,0.7641,31.0603,0.9398
0190,20.3239,0.7306,33.6202,0.9336
0191,21.3494,0.8237,34.0872,0.9649
0192,14.4166,0.1987,27.4630,0.7316
0193,20.5386,0.3276,33.4188,0.8736
0194,16.1046,0.4172,24.4205,0.7598
0195,12.9934,0.1640,24.0759,0.6170
0196,13.3118,0.2609,24.6169,0.6664
0197,25.4442,0.8990,38.9749,0.9811
0198,26.7202,0.9474,36.6635,0.9864
0199,24.7541,0.8564,38.7266,0.9768
0200,25.1048,0.9261,37.5271,0.9774
0201,20.2124,0.3364,32.4731,0.8679
0202,20.5690,0.8024,32.5647,0.9519
0203,26.6655,0.9313,38.0393,0.9818
0204,21.5472,0.7343,35.6002,0.9511
0205,24.6272,0.8880,38.6758,0.9776
0206,23.2343,0.8470,36.8308,0.9702
0207,21.3476,0.8714,33.2643,0.9664
0208,23.2531,0.8258,36.3317,0.9594
0209,21.6374,0.8405,34.4019,0.9676
0210,16.7776,0.3188,27.2051,0.7738
0211,12.2222,0.1437,23.6389,0.5761
0212,14.6415,0.4419,24.9165,0.7404
0213,24.7037,0.8810,37.7420,0.9763
0214,26.5358,0.9435,36.7004,0.9861
0215,25.7262,0.8822,39.7947,0.9815
0216,21.2591,0.7885,35.3055,0.9559
0217,23.5818,0.8918,36.8495,0.9772
0218,19.7276,0.3548,32.3722,0.8657
0219,12.7149,0.1959,22.9586,0.6126
0220,22.2623,0.7653,36.1954,0.9567
0221,23.8082,0.8620,37.3314,0.9741
0222,22.5938,0.8135,36.5132,0.9649
0223,21.0786,0.8668,33.1518,0.9645
0224,22.0506,0.7778,34.8178,0.9515
0225,19.8125,0.7482,33.6480,0.9463
0226,14.6593,0.4139,25.8727,0.7311
0227,24.8454,0.8830,38.2099,0.9777
0228,26.1344,0.9379,36.5397,0.9850
0229,25.5236,0.8778,39.3509,0.9820
0230,23.3545,0.8535,37.1494,0.9722
0231,24.7386,0.9207,38.3595,0.9835
0232,20.2733,0.7996,32.5244,0.9530
0233,28.4883,0.9575,38.8323,0.9881
0234,17.4633,0.3241,30.4406,0.8034
0235,13.4798,0.2288,24.7039,0.6511
0236,23.7216,0.8665,36.6587,0.9738
0237,22.2255,0.8016,36.2741,0.9621
0238,20.5293,0.8666,31.9700,0.9629
0239,21.7728,0.7622,34.8774,0.9465
0240,19.8795,0.7603,33.7617,0.9474
0241,23.6759,0.8434,37.8523,0.9684
0242,22.0938,0.7916,35.5696,0.9601
0243,23.2942,0.8260,37.8007,0.9687
0244,22.8229,0.8648,36.7460,0.9711
0245,24.9394,0.9290,38.7124,0.9854
0246,20.9036,0.7967,33.4042,0.9531
0247,27.3135,0.9505,38.3064,0.9867
0248,21.3023,0.7096,35.3681,0.9474
0249,22.4259,0.9363,30.6234,0.9669
0250,18.7708,0.2571,31.4216,0.8208
0251,21.8640,0.7541,35.9654,0.9550
0252,23.5171,0.8525,37.0138,0.9702
0253,22.2794,0.8148,36.2920,0.9645
0254,20.6843,0.8687,32.4726,0.9646
0255,22.6097,0.8156,35.8310,0.9581
0256,19.3850,0.7357,32.9829,0.9431
0257,13.9912,0.2024,24.9624,0.6573
0258,25.6607,0.9066,38.1354,0.9809
0259,22.5806,0.8124,36.0547,0.9637
0260,23.0929,0.8145,37.4988,0.9657
0261,21.8806,0.8163,35.6101,0.9643
0262,23.7753,0.8959,37.2951,0.9786
0263,19.7694,0.8014,31.7350,0.9484
0264,26.9201,0.9459,38.2300,0.9852
0265,23.9891,0.9580,32.0737,0.9780
0266,12.8367,0.2158,23.6450,0.6469
0267,23.0874,0.8482,36.2663,0.9710
0268,20.5308,0.7369,34.9622,0.9437
0269,20.3915,0.8609,31.9208,0.9630
0270,22.4608,0.8146,35.5344,0.9571
0271,19.4525,0.7193,32.7417,0.9441
0272,24.0556,0.8633,37.0045,0.9734
0273,22.3773,0.8138,35.7955,0.9640
0274,24.0140,0.8164,38.5625,0.9693
0275,23.1528,0.8648,36.7280,0.9712
0276,24.6129,0.9073,38.3938,0.9816
0277,20.8526,0.8237,33.3223,0.9578
0278,27.2792,0.9495,38.1421,0.9860
0279,23.1224,0.8086,36.8251,0.9665
0280,21.7226,0.9289,29.6495,0.9635
0281,22.8005,0.8187,36.5229,0.9647
0282,23.6079,0.8661,35.8379,0.9683
0283,17.1993,0.5400,31.4063,0.8928
0284,26.3273,0.8890,40.0980,0.9841
0285,23.0065,0.8541,36.1786,0.9721
0286,23.9651,0.8896,37.9168,0.9792
0287,18.8496,0.7050,32.2117,0.9321
0288,25.8590,0.9302,37.6691,0.9825
0289,24.4630,0.8681,37.5046,0.9762
0290,20.0946,0.7015,34.4327,0.9342
0291,22.2386,0.8785,33.7154,0.9697
0292,23.6972,0.9566,30.8928,0.9767
0293,21.2278,0.7735,35.2847,0.9532
0294,23.9458,0.8461,37.2894,0.9724
0295,20.1715,0.6753,34.5140,0.9275
0296,19.1528,0.7232,32.2206,0.9281
0297,19.8741,0.7762,33.6455,0.9505
0298,19.9364,0.8830,29.5648,0.9427
0299,22.8403,0.7886,36.8714,0.9620
0300,20.3126,0.8014,33.1377,0.9495
0301,20.0604,0.7842,33.6147,0.9542
0302,21.4620,0.9198,31.1180,0.9622
0303,19.7992,0.8143,31.5815,0.9523
0304,18.2170,0.5819,32.0234,0.9172
0305,11.3320,0.0873,24.8130,0.5218
0306,20.1076,0.7566,33.9419,0.9501
0307,11.8604,0.0972,25.1639,0.5539
0308,12.4451,0.2308,26.0717,0.6274
0309,11.9462,0.1346,25.0931,0.5862
0310,12.9176,0.1530,25.0041,0.6555
0311,11.8326,0.1229,24.8370,0.5656
0312,11.9235,0.0954,24.9472,0.5430
0313,13.5965,0.1811,26.1920,0.6652
0314,11.9221,0.2446,24.8899,0.6196
0315,11.7656,0.0983,24.7855,0.5609
